dataset id,app name,personal data categories,login categories,personal data targets,unspecific data categories,personal data usage mentioned in app description,source of rating information,reasonableness of personal data collection,secure data transmission,notes,rater,,,
3,ABG Interpreter,"Life status specs, Vital values",None,App provider,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,0,,Joel,,,
13,OnTrack Diabetes,"Body specs, Medication intake, Workout / Activities, Vital values, Food intake",E-Mail,App Provider,Analytics,1,"App downloaded, HTTP Proxy",1,0,übernommen von medivo,Joel,,,
59,BMI Calculator (free),Body specs,None,,Analytics,1,"App downloaded, HTTP Proxy",1,,,Joel,,,
60,Pregnancy Contraction Timer,Life status specs,None,,Analytics,1,"App downloaded, HTTP Proxy",1,,,Joel,,,
61,Anesthesiologist,Body specs,None,App provider,"Advertisers / Marketeers, Analytics",1,"App downloaded, HTTP Proxy",1,0,http://a.mologiq.net/mologiq/et?v=1.2.9&p=com.shahlab.anesthesiologist,Joel,,,
64,Pocket Doctor Lite,Body specs,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
70,BMI n Fat Calculator,"Body specs, Life status specs",None,App provider,"Advertisers / Marketeers, Analytics",,"App downloaded, HTTP Proxy",0,0,"Sehr viele Ad streams, Zugriff auf Standort, Telefon, Fotos, WLAN, Geräte ID",Joel,,,
89,Rx Savings!,,None,,,0,"App downloaded, HTTP Proxy",0,,"Zugriff auf Standort, SMS, Fotos, Kamera, Mikrofon, Geräte ID",Joel,,,
116,Clinicians Drug Reference TR,,None,"App provider, Advertisers / Marketeers",Analytics,0,"App downloaded, HTTP Proxy, Privacy Policy",0,0,http://mobisystems.com/cgi-bin2/pdb?file=McGrawHillCPDR_2011.pdb&record=14,Joel,,,
139,Get Pregnant,Life status specs,None,,Advertisers / Marketeers,1,"App downloaded, HTTP Proxy",1,,,Joel,,,
150,Ob (Pregnancy) Wheel,Life status specs,None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
157,MedBook,,None,App provider,,0,"Screenshots, App downloaded, HTTP Proxy",0,0,http://medibookpr.com/app/banners-android.js,Joel,,,
198,Emergency Tools,Address,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",0,,"Kontakte, Fotos, Kamera, Geräte ID",Joel,,,
199,Kids Height Predictor,"Body specs, Family",None,,"Advertisers / Marketeers, Analytics",1,"App downloaded, HTTP Proxy",1,,,Joel,,,
203,Color Blindness Test,,None,,"Advertisers / Marketeers, Analytics",0,"App downloaded, HTTP Proxy",,,,Joel,,,
236,HeartSounds: Stethoscope Lite,,None,App provider,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,0,,Joel,,,
248,Visual Anatomy Free,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
249,Dosage Calc,Medication intake,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,"Fotos, ID",Joel,,,
251,Sleep Graph,Sleep Metrics,None,,,1,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
252,Standard Dictations,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
267,3D BMI Calculator 2 Free,Body specs,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",0,,"Fotos, Kamera",Joel,,,
457,Mobile emergency call,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",1,,Standort etc,Joel,,,
577,Control Your Mind BrainMassage,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,"Fotos, ID",Joel,,,
629,Menstrual Calendar,"Life status specs, Body specs, Medical appointments, Medication intake",None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",0,,,Joel,,,
639,Medical News,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
656,Fluid & Electrolytes,"Body specs, Vital values",None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,"Fotos, ID",Joel,,,
668,Pregancy Calculator,,None,,,1,Screenshots,0,,Zugriff auf alles,Joel,,,
669,BeatDroid,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
682,ADHD Test,Symptoms,None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",,,"Standort, ID",Joel,,,
957,First Aid,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,"Verlauf, Fotos???",Joel,,,
958,Massage Lite,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,"Fotos, ID",Joel,,,
1020,Cardiograph,"Vital values, Workout / Activities",None,App provider,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,0,http://ma.macropinch.com/,Joel,,,
1228,QA of health collection TW,,,,,,,,,app ist auf chinesisch,Joel,,,
1229,Endomondo Sports Tracker,"Workout / Activities, Address, Life status specs","E-Mail, Facebook, Google","App provider, Facebook","Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy, Privacy policy",0,1,"Identität, Kontakte, Fotos; Privacy Policy: viele Daten werden gesammelt … umbenannt in Endomondo - Laufen und Gehen",Joel,,,
1231,Music Therapy for Sound Sleep,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,SMS,Joel,,,
