id;name;personal_category;login;personal_target;unspecific_target;personal_description;rating_source;data_reasonable;secure_transmission;rater;influence_key;archetype;privacy_index;privacy_index_confidence
3;ABG Interpreter;life status specs,vital values;false;app provider;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;false;joel;security;6;42;0.8
13;OnTrack Diabetes;body specs,medication intake,workout / activities,vital values,food intake;true;app provider;analytics;true;app downloaded,http proxy;true;false;joel;category;12;64;0.8
59;BMI Calculator (free);body specs;false;;analytics;true;app downloaded,http proxy;true;;joel;unspecific_target;5;10;0.8
60;Pregnancy Contraction Timer;life status specs;false;;analytics;true;app downloaded,http proxy;true;;joel;unspecific_target;;11;0.8
61;Anesthesiologist;body specs;false;app provider;advertisers / marketeers,analytics;true;app downloaded,http proxy;true;false;joel;security;6;35;0.8
64;Pocket Doctor Lite;body specs;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;5;10;0.8
70;BMI n Fat Calculator;body specs,life status specs;false;app provider;advertisers / marketeers,analytics;false;app downloaded,http proxy;false;false;joel;security;5;46;0.8
89;Rx Savings!;;false;;;false;app downloaded,http proxy;false;;joel;;11;0;0.8
116;Clinicians Drug Reference TR;;false;app provider,advertisers / marketeers;analytics;false;app downloaded,http proxy,privacy policy;false;false;joel;personal_target;3;61;0.9
139;Get Pregnant;life status specs;false;;advertisers / marketeers;true;app downloaded,http proxy;true;;joel;unspecific_target;9;11;0.8
150;Ob (Pregnancy) Wheel;life status specs;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;7;11;0.8
157;MedBook;;false;app provider;;false;screenshots,app downloaded,http proxy;false;false;joel;security;4;32;0.8
198;Emergency Tools;address;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;false;;joel;unspecific_target;;17;0.8
199;Kids Height Predictor;body specs,family;false;;advertisers / marketeers,analytics;true;app downloaded,http proxy;true;;joel;unspecific_target;;12;0.8
203;Color Blindness Test;;false;;advertisers / marketeers,analytics;false;app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
236;HeartSounds: Stethoscope Lite;;false;app provider;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;false;joel;security;6;32;0.8
248;Visual Anatomy Free;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;2;6;0.8
249;Dosage Calc;medication intake;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;11;13;0.8
251;Sleep Graph;sleep metrics;false;;;true;screenshots,app downloaded,http proxy;;;joel;category;;0;0.8
252;Standard Dictations;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;12;0;0.8
267;3D BMI Calculator 2 Free;body specs;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;false;;joel;unspecific_target;4;17;0.8
457;Mobile emergency call;;false;;;false;screenshots,app downloaded,http proxy;true;;joel;;3;0;0.8
577;Control Your Mind BrainMassage;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;2;6;0.8
629;Menstrual Calendar;life status specs,body specs,medical appointments,medication intake;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;false;;joel;category;;30;0.8
639;Medical News;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;6;6;0.8
656;Fluid & Electrolytes;body specs,vital values;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;category;6;16;0.8
668;Pregancy Calculator;;false;;;true;screenshots;false;;joel;;;0;0.8
669;BeatDroid;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;;0;0.8
682;ADHD Test;symptoms;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;;;joel;unspecific_target;12;11;0.8
957;First Aid;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
958;Massage Lite;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;3;6;0.8
1020;Cardiograph;vital values,workout / activities;false;app provider;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;false;joel;security;;39;0.8
1228;QA of health collection TW;;false;;;false;;;;joel;;6;0;0.8
1229;Endomondo Sports Tracker;workout / activities,address,life status specs;true;app provider,facebook;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy,privacy policy;false;true;joel;personal_target;;65;0.9
1231;Music Therapy for Sound Sleep;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;2;6;0.8
1233;CPR Choking;;false;;analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;3;6;0.8
1239;Pregnancy Ticker;life status specs;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;11;0.8
1242;Stretch Exercises;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;false;;joel;unspecific_target;2;13;0.8
1243;Music Therapy for Refreshment;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;2;6;0.8
1246;Prenatal Lullabies Lite;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;1;6;0.8
1248;Calming Music to Tranquilize;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;1;6;0.8
1250;Yoga Moment Lite;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;1;6;0.8
1251;Simple Weight Loss Resolution;body specs;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;10;0.8
1252;Thunderstorm Sleep sound;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;3;6;0.8
1255;Yoga Nidra Meditation (Free);;false;;;false;screenshots,app downloaded,http proxy;;;joel;;1;0;0.8
1257;Calming Music to Simplicity;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;2;6;0.8
1258;Relax Rain drops Sleep;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;3;6;0.8
1260;Relax Ocean waves Sleep;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;3;6;0.8
1262;My Tracks;workout / activities;false;app provider,advertisers / marketeers;analytics;true;screenshots,app downloaded,http proxy,privacy policy;true;true;joel;personal_target;10;41;0.9
1265;Calorie Counter - MyFitnessPal;address,body specs,life status specs,food intake;true;app provider,advertisers / marketeers;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;true;joel;personal_target;10;67;0.8
1266;Sugar log;vital values;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;5;13;0.8
1270;Waterfall Relax Sound;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;3;6;0.8
1272;Advanced Eye Charts (Trial);;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;8;6;0.8
1273;Tropic rain forest stress;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;3;6;0.8
1276;Ocean Sleeper Sound;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;3;6;0.8
1277;Noom CardioTrainer;workout / activities;false;app provider;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy,privacy policy;false;true;joel;personal_target;;26;0.9
1278;aBMI;body specs;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;5;10;0.8
1284;Free From Smoking - Hypnosis;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;5;0;0.8
1290;Chakra Opening BrainwaveTrial;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;false;;joel;unspecific_target;1;13;0.8
1306;Alarm Clock Plus;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;11;6;0.8
1308;Libra - Weight Manager;body specs,food intake;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;11;0.8
1326;PointsPlus Calculator;body specs,food intake;true;app provider;advertisers / marketeers,analytics;true;app downloaded,http proxy;true;true;joel;login_required;5;36;0.8
1327;Alura: Free Cognitive Therapy;;false;;;false;screenshots;false;;joel;;2;0;0.8
1367;CardioTrainer Widget;workout / activities;false;app provider;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy,privacy policy;true;true;joel;personal_target;;19;0.9
1380;Simple Weight Recorder;body specs;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;5;10;0.8
1407;Eponyms;;false;app provider;;false;screenshots,app downloaded,http proxy;;false;joel;security;;25;0.8
1408;TwoTouch Timer & Alarmclock;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
1416;Body Fat Calculator;body specs,life status specs;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;category;12;14;0.8
1417;Farmácias;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;;0;0.8
1418;Self-Hypnosis for Meditation;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;1;6;0.8
1420;Brainwave Tuner Lite;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;1;6;0.8
1425;Bench Press Workout;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
1430;Bleep Test 20-15;workout / activities;false;;;true;screenshots,app downloaded,http proxy;true;;joel;category;;1;0.8
1438;Dharma Timer Counter Lite;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;;0;0.8
1446;Eight Cups Lite;food intake;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;8;0.8
1447;Health Net Mobile;;true;app provider;;true;screenshots,app downloaded,http proxy;true;true;joel;login_required;;25;0.8
1467;Alcohol Calculator;body specs,life status specs,food intake;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;category;8;16;0.8
1481;Toothbrush Helper (Lite);;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
1491;FitRoid - Lite;body specs,food intake,workout / activities,vital values;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;category;;19;0.8
1509;Simple Meal Reminder;food intake;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;2;8;0.8
1510;mobiCeliac [mini];;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
1518;Relax with Andrew Johnson Lite;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;2;0;0.8
1529;Natural Beauty Recipe;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
1531;Weight Chart v2;body specs;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;10;0.8
1536;What Additives;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;false;;joel;unspecific_target;4;13;0.8
1544;Glasgow Coma Scale;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;6;0.8
1546;NCCN Guidelines;;false;;analytics;false;screenshots,app downloaded,http proxy;false;;joel;unspecific_target;;13;0.8
1560;Power Nap Alarm;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
1565;Tabata Sport Interval Timer;workout / activities;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;3;8;0.8
1572;Recall Watch;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
1583;Blood Alcohol Calculator;body specs,food intake;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;8;11;0.8
1603;Military Body Fat Calculator;body specs;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;10;0.8
1606;Max Bench Press Calculator;workout / activities;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;8;0.8
1612;yourFit Lite;body specs,life status specs,food intake,workout / activities;false;app provider;analytics;true;screenshots,app downloaded,http proxy;true;false;joel;security;4;42;0.8
1614;(Free) Herbs of Traditn & Sppl;;false;;;false;screenshots;false;;joel;;3;0;0.8
1619;Live Sound;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;2;0;0.8
1634;Pregnancy Widget;life status specs;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;11;0.8
1637;Yoga Song;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
1642;Workout Assistant;workout / activities;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;8;0.8
1647;Barcode Calorie;food intake;false;;;true;screenshots,app downloaded,http proxy;true;;joel;category;5;1;0.8
1650;Refresh Your Brain Relaxation;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;2;6;0.8
1654;ColorTest;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;8;6;0.8
1655;Diary Weight;body specs;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;;;joel;unspecific_target;5;10;0.8
1679;Walttend Lite;workout / activities;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;5;8;0.8
1684;Pregnancy Due Dates Calculator;life status specs;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;5;11;0.8
1686;Relaxing Night Brain Massage;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;2;6;0.8
1693;Adora AA=> Acupuncture Assist.;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
1713;WWDiary;food intake,workout / activities;false;;;true;screenshots,app downloaded,http proxy;true;;joel;category;;2;0.8
1715;SmartTraining;workout / activities;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;8;0.8
1721;DietLog Free;body specs,life status specs,food intake;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;false;;joel;category;;23;0.8
1723;Brushy - Teeth brushing timer;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;;0;0.8
1840;Cancer Preventing Food (Health;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;5;6;0.8
2096;Calculate ideal weight  (BMI);body specs;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;;;joel;unspecific_target;5;10;0.8
2135;EiWeight;body specs;false;;;true;screenshots,app downloaded,http proxy;;;joel;category;5;3;0.8
2305;Instant Heart Rate - Classic;vital values;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;;13;0.8
2308;Sleepytime;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;;0;0.8
2366;Quit Smoking;life status specs;false;;;true;screenshots;true;;joel;category;5;4;0.19999999999999996
2464;Power Nap with Andrew Johnson;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;2;0;0.19999999999999996
2473;SportsTracker (by STL);life status specs,body specs,vital values,workout / activity;false;app provider;analytics;true;screenshots,app downloaded,http proxy,privacy policy;true;false;joel;category;;47;0.9
2476;E Numbers;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;4;0;0.9
2481;"Pharmacist's Letter®";;false;app provider;analytics;false;screenshots,app downloaded,http proxy;;false;joel;security;2;32;0.8
2496;Round One Timer;;false;;advertisers / marketeers;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;5;6;0.8
